slug,name,verdict,recommended_query,resolved_name,resolved_address,evidence_url,note
bar-canete,Bar Cañete,FOUND,"Bar Cañete, Carrer de la Unió 17, Barcelona",Bar Cañete,"Carrer de la Unió 17, 08001 Barcelona",https://www.oadguides.com/restaurant/bar-canete,"좌표 약 180m 오차"
barcelona-modernisme-walk,Barcelona Modernisme — Eixample 권역,NOT_FOUND,,,,,"도보 권역 개념 — 구글맵 POI 없음"
barcelona-sants,Barcelona Sants,FOUND,"Estació de Barcelona-Sants, Barcelona",Estació de Barcelona-Sants,"Plaça dels Països Catalans 1-7, 08014 Barcelona",https://en.wikipedia.org/wiki/Barcelona_Sants_railway_station,"'Estació' 접두 필수 — 동명 지구와 충돌"
barcelona-historic-walk,Barcelona 역사도심 — Barri Gòtic·Rambla 권역,NOT_FOUND,,,,,"도보 권역 개념 — 구글맵 POI 없음"
barri-gotic,Barri Gòtic,FOUND,"Barri Gòtic, Barcelona",Barri Gòtic,"Ciutat Vella, 08002 Barcelona",https://www.barcelonaturisme.com/,"지구(영역) — 단일 핀 아님"
biblioteca-de-catalunya,Biblioteca de Catalunya,FOUND,"Biblioteca de Catalunya, Carrer de l'Hospital 56, Barcelona",Biblioteca de Catalunya,"Carrer de l'Hospital 56, 08001 Barcelona",https://www.bnc.cat/eng,
bodega-joan,Bodega Joan,AMBIGUOUS,,Bodega Joan,"Carrer del Rosselló 164, 08036 Barcelona",https://www.bodegajoan.com/en,"동명 2곳 — 번지 필수. 좌표 200m+ 오차"
cau-ferrat,Cau Ferrat,FOUND,"Museu del Cau Ferrat, Sitges",Museu del Cau Ferrat,"Carrer de Fonollar 6, 08870 Sitges",https://museusdesitges.cat/,"실제 도시 Sitges — city_hint 오류"
la-paradeta-sagrada-familia,La Paradeta Sagrada Família,FOUND,"La Paradeta Sagrada Família, Passatge de Simó 18, Barcelona",La Paradeta Sagrada Família,"Passatge de Simó 18, 08025 Barcelona",https://www.laparadeta.com/en/seafood-restaurants/,"체인 — 지점명 필수. 좌표 약 400m 오차"
la-zorra,La Zorra,FOUND,"La Zorra, Passeig Marítim 1-3, Sitges",La Zorra,"Passeig Marítim 1-3, 08870 Sitges",https://restaurantelazorra.com/,"실제 도시 Sitges. 좌표 약 300m 오차"
macba,MACBA,FOUND,"Museu d'Art Contemporani de Barcelona, Plaça dels Àngels 1",MACBA,"Plaça dels Àngels 1, 08001 Barcelona",https://www.macba.cat/en/plan-your-visit/,"약칭은 타 도시와 충돌 — 정식명 권장"
mercat-concepcio,Mercat de la Concepció,FOUND,"Mercat de la Concepció, Carrer d'Aragó 313, Barcelona",Mercat de la Concepció,"Carrer d'Aragó 311-317, 08009 Barcelona",https://www.laconcepcio.cat/en/the-market/,"좌표 약 200m 오차"
OCCIDENTAL-HOTEL,Occidental Barcelona 1929,FOUND,"Occidental Barcelona 1929, Carrer de la Creu Coberta 20-22, Barcelona",Occidental Barcelona 1929,"Carrer de la Creu Coberta 20-22, 08014 Barcelona",https://www.barcelo.com/en-us/occidental-barcelona-1929/,"좌표·주소 일치"
palau-de-maricel,Palau de Maricel,FOUND,"Palau de Maricel, Sitges",Palau de Maricel,"Carrer de Fonollar s/n, 08870 Sitges",https://museusdesitges.cat/,"실제 도시 Sitges. 좌표 없음. 인근 Museu de Maricel 과 별개"
sagrada-familia,Sagrada Família,FOUND,"Basílica de la Sagrada Família, Barcelona",Basílica de la Sagrada Família,"Carrer de Mallorca 401, 08013 Barcelona",https://www.sagradafamilia.org/,좌표 일치
sant-pau-recinte-modernista,Sant Pau Recinte Modernista,FOUND,"Recinte Modernista de Sant Pau, Barcelona",Sant Pau Recinte Modernista,"Carrer de Sant Antoni Maria Claret 167, 08025 Barcelona",https://www.barcelonaturisme.com/,"현 병원과 혼동 주의 — 'Recinte Modernista' 유지"
sitges,Sitges,FOUND,"Sitges, Barcelona, Spain",Sitges,"08870 Sitges, Catalonia",https://www.visitsitges.com/,"도시 단위. 좌표 없음"
calella-de-palafrugell,Calella de Palafrugell,FOUND,"Calella de Palafrugell, Girona",Calella de Palafrugell,"17210 Palafrugell, Girona",https://costabrava.org/,"좌표 없음. local_name 의 Camí de Ronda 는 선형 산책로"
casa-marieta,Casa Marieta,FOUND,"Casa Marieta 1892, Plaça de la Independència 5-6, Girona",Restaurant Casa Marieta 1892,"Plaça de la Independència 5-6, 17001 Girona",https://casamarieta.com/en/,"좌표 없음 — 약 41.9856/2.8218"
collioure,Collioure,FOUND,"Collioure, France",Collioure,"66190 Collioure, Pyrénées-Orientales, France",https://en.wikipedia.org/wiki/Collioure,"city_hint 오류 — 스페인 아닌 프랑스"
girona-cathedral,Girona Cathedral,FOUND,"Catedral de Santa Maria de Girona, Girona",Catedral de Santa Maria de Girona,"Plaça de la Catedral s/n, 17004 Girona",https://www.girona.cat/turisme/eng/monuments_catedral.php,"좌표 없음 — 약 41.9874/2.8263"
girona-old-town-walk,Girona 구시가지 — Call·성벽·대성당 권역,NOT_FOUND,,,,,"도보 권역 개념 — 구글맵 POI 없음"
mercat-del-lleo,Mercat del Lleó,FOUND,"Mercat del Lleó, Plaça Calvet i Rubalcaba 15, Girona",Mercat del Lleó,"Plaça Calvet i Rubalcaba 15, 17002 Girona",https://www.mercatlleo.cat/,좌표 없음
onyar,Onyar 강변,FOUND,"Cases de l'Onyar, Girona",Cases de l'Onyar,"Rambla de la Llibertat 23, 17004 Girona",https://www.google.co.uk/maps/place/Cases+de+l'Onyar/,"강변 자체는 선형 — 사진 포인트는 Pont de les Peixateries Velles. 좌표 없음"
pals,Pals,FOUND,"Pals, Girona",Pals,"17256 Pals, Girona",https://en.wikipedia.org/wiki/Pals,"좌표 약 300m 북동 편차"
passeig-de-la-muralla,Passeig de la Muralla,FOUND,"Passeig de la Muralla, Girona",Passeig de la Muralla,"Girona 구시가 성벽, 17004 Girona",https://www.tripadvisor.com/,"약 1.5km 선형 — 진입점 여럿. 좌표 없음"
peralada,Peralada,FOUND,"Castell de Peralada, Peralada",Castell de Peralada,"Plaça del Carme s/n, 17491 Peralada",https://www.museucastellperalada.com/en/gardens/,"'Peralada' 단독은 마을 — 성이 목적지면 'Castell de'. 좌표 없음"
peratallada,Peratallada,FOUND,"Peratallada, Girona",Peratallada,"17113 Forallac, Girona",https://en.wikipedia.org/wiki/Peratallada,"좌표 일치"
BASCARA-HOTEL,바스카라의 B&B,FOUND,"Casa Bascara, Bàscara",Casa Bascara,"Plaça de l'Església 6, 17483 Bàscara",https://casabascara.cat/en/rooms/,"'바스카라의 B&B' 는 별칭 — 정식 상호 'Casa Bascara'"
