slug,name,verdict,recommended_query,resolved_name,resolved_address,evidence_url,note
atelier-des-lauves,Atelier des Lauves,FOUND,"Atelier de Cézanne, Aix-en-Provence",Atelier de Cézanne,"9 avenue Paul Cézanne, 13090 Aix-en-Provence",https://www.atelier-cezanne.com/,"구글맵 정본 라벨은 'Atelier de Cézanne'. 2026 재개관 일정 확인 필요"
bastide-du-jas-de-bouffan,Bastide du Jas de Bouffan,FOUND,"Bastide du Jas de Bouffan, Aix-en-Provence",La Bastide du Jas de Bouffan,"4 rue de Valcros, 13090 Aix-en-Provence",https://www.cezanne-en-provence.com/les-sites-de-cezanne/bastide-du-jas-de-bouffan/,"좌표 없음. 예약 필수"
calanques,Calanques,AMBIGUOUS,,Parc national des Calanques,"Cassis·Marseille 사이 해안",https://www.calanques-parcnational.fr/,"칼랑크 3곳이 한 항목. 좌표는 칼랑크가 아니라 Cassis 항구 근처 — 오류"
carrieres-de-bibemus,Carrières de Bibémus,FOUND,"Carrières de Bibémus, Aix-en-Provence",Carrières de Bibémus,"3090 chemin de Bibémus, 13100 Aix-en-Provence",https://www.cezanne-en-provence.com/les-sites-de-cezanne/carrieres-de-bibemus/,"좌표 없음. 가이드투어만"
cassis,Cassis 항구,FOUND,"Port de Cassis, Cassis",Port de Cassis,"Quai des Baux, 13260 Cassis",https://www.ot-cassis.com/,"실제 도시 Cassis — city_hint 오류"
chez-gilbert-cassis,Chez Gilbert,FOUND,"Chez Gilbert, Cassis",Restaurant Chez Gilbert,"19 quai des Baux, 13260 Cassis",https://www.chezgilbert.net/,"city_hint 오류(Aix→Cassis)"
cours-mirabeau,Cours Mirabeau,FOUND,"Cours Mirabeau, Aix-en-Provence",Cours Mirabeau,"Cours Mirabeau, 13100 Aix-en-Provence",https://www.aix.fr/incontournables/cours-mirabeau,"대로 전체 — 핀은 중간점"
fort-saint-jean,Fort Saint-Jean,FOUND,"Fort Saint-Jean, Marseille",Fort Saint-Jean (Mucem),"Esplanade J4, 13002 Marseille",https://www.mucem.org/,"city_hint 오류(Aix→Marseille). 좌표 없음. 도시명 없으면 Lyon 등과 충돌"
grasse,Grasse,FOUND,"Grasse, France",Grasse,"06130 Grasse, Alpes-Maritimes",https://fr.wikipedia.org/wiki/Grasse,"city_hint 오류 — Aix 에서 약 150km"
le-panier,Le Panier,FOUND,"Le Panier, Marseille",Le Panier,"13002 Marseille",https://fr.wikipedia.org/wiki/Le_Panier,"city_hint 오류(Aix→Marseille). 지구 라벨"
MEJANES-HOTEL,Les Toits de Méjanes (Airbnb),NOT_FOUND,,Résidence Les Toits de Méjanes,"2 Place Coimbra, 13090 Aix-en-Provence",https://www.aix.fr/,"Airbnb 상품명 — 구글맵 POI 없음. 주소로만 검색 가능"
marseille,Marseille,FOUND,"Marseille, France",Marseille,"13000 Marseille",https://fr.wikipedia.org/wiki/Marseille,"city_hint 오류(Aix)"
montagne-sainte-victoire-terrain-des-peintres,Montagne Sainte-Victoire · Terrain des Peintres,FOUND,"Terrain des Peintres, Aix-en-Provence",Jardin des Peintres,"Chemin de la Marguerite, 13090 Aix-en-Provence",https://www.aix.fr/incontournables/jardin-peintres,"공식명 Jardin des Peintres 로 변경. 산+전망대를 한 이름에 묶어 그대로는 검색 실패. 좌표 없음"
mucem,Mucem,FOUND,"Mucem, Marseille",Mucem,"7 promenade Robert Laffont, 13002 Marseille",https://www.mucem.org/,"city_hint 오류(Aix→Marseille)"
musee-granet,Musée Granet,FOUND,"Musée Granet, Aix-en-Provence",Musée Granet,"Place Saint-Jean de Malte, 13100 Aix-en-Provence",https://www.museegranet-aixenprovence.fr/,"별관 Granet XXe 는 별도 지점"
notre-dame-de-la-garde,Notre-Dame de la Garde,FOUND,"Basilique Notre-Dame de la Garde, Marseille",Basilique Notre-Dame de la Garde,"Rue Fort du Sanctuaire, 13281 Marseille",https://fr.wikipedia.org/wiki/Basilique_Notre-Dame_de_la_Garde,"city_hint 오류(Aix→Marseille)"
patisserie-weibel,Pâtisserie Weibel,FOUND,"Maison Weibel, Aix-en-Provence",Maison Weibel,"2 rue Chabrier, 13100 Aix-en-Provence",http://www.maisonweibel.com/,"좌표 없음. local_name 의 'rue Méjanes' 근거 없음 — 정본은 rue Chabrier"
rotonde,Rotonde,FOUND,"Fontaine de la Rotonde, Aix-en-Provence",Fontaine de la Rotonde,"Place du Général de Gaulle, 13100 Aix-en-Provence",https://en.wikipedia.org/wiki/Fontaine_de_la_Rotonde,"'Rotonde' 단독은 상호와 충돌"
saint-paul-de-vence,Saint-Paul-de-Vence,FOUND,"Saint-Paul-de-Vence, France",Saint-Paul-de-Vence,"06570 Saint-Paul-de-Vence",https://fr.wikipedia.org/wiki/Saint-Paul-de-Vence,"city_hint 오류 — Aix 에서 약 170km"
vieil-aix,Vieil Aix — 구시가지,AMBIGUOUS,,Vieil Aix,"13100 Aix-en-Provence 구시가",https://www.aix.fr/incontournables/vieil-aix,"관용 호칭 — 단일 핀 없음. 앵커로 Place de l'Hôtel de Ville 권장"
vieux-port-marseille,Vieux-Port,FOUND,"Vieux-Port de Marseille, Marseille",Vieux-Port de Marseille,"Quai du Port, 13001 Marseille",https://fr.wikipedia.org/wiki/Vieux-Port_de_Marseille,"city_hint 오류. 'Vieux Port' 단독은 Cannes 등과 충돌"
place-richelme-place-des-precheurs,시장 — Place Richelme · Place des Prêcheurs,AMBIGUOUS,,Place Richelme / Place des Prêcheurs,"13100 Aix-en-Provence",https://www.aix.fr/incontournables/place-richelme,"두 광장이 한 항목 — 분리 필요"
abbaye-de-senanque,Abbaye de Sénanque,FOUND,"Abbaye Notre-Dame de Sénanque, Gordes",Abbaye Notre-Dame de Sénanque,"84220 Gordes",https://www.senanque.fr/,"좌표 일치. 예약제 가이드투어"
bonnieux,Bonnieux,FOUND,"Bonnieux, France",Bonnieux,"84480 Bonnieux",https://fr.wikipedia.org/wiki/Bonnieux,"좌표 없음 — 약 43.824/5.307"
coustellet,Coustellet 생산자 시장,FOUND,"Marché paysan de Coustellet, Maubec",Marché paysan de Coustellet,"Place du marché, 84660 Maubec",https://www.destinationluberon.com/,"시장은 Maubec 소속. 일요일 오전"
PEYRE-HOTEL,Domaine des Peyre (후보),FOUND,"Domaine des Peyre, Robion",Domaine des Peyre,"1620 route d'Avignon, 84440 Robion",https://www.domainedespeyre.com/,"공식 GPS 와 좌표 정확히 일치. 미확정 후보 — 확정 표기 금지"
gordes,Gordes,FOUND,"Gordes, France",Gordes,"84220 Gordes",https://fr.wikipedia.org/wiki/Gordes,좌표 일치
goult,Goult,FOUND,"Goult, France",Goult,"84220 Goult",https://fr.wikipedia.org/wiki/Goult,좌표 적정
lourmarin,Lourmarin,FOUND,"Lourmarin, France",Lourmarin,"84160 Lourmarin",https://fr.wikipedia.org/wiki/Lourmarin,좌표 일치
l-isle-sur-la-sorgue,L'Isle-sur-la-Sorgue,FOUND,"L'Isle-sur-la-Sorgue, France",L'Isle-sur-la-Sorgue,"84800 L'Isle-sur-la-Sorgue",https://fr.wikipedia.org/wiki/L%27Isle-sur-la-Sorgue,"좌표 없음 — 약 43.919/5.051"
menerbes,Ménerbes,FOUND,"Ménerbes, France",Ménerbes,"84560 Ménerbes",https://fr.wikipedia.org/wiki/M%C3%A9nerbes,"좌표 반올림으로 수백m 오차"
oppede-le-vieux,Oppède-le-Vieux,FOUND,"Oppède-le-Vieux, Oppède",Oppède-le-Vieux,"84580 Oppède",https://fr.wikipedia.org/wiki/Opp%C3%A8de,"좌표 없음 — 약 43.827/5.166"
roussillon-sentier-des-ocres,Roussillon · Sentier des Ocres,FOUND,"Sentier des Ocres, Roussillon",Le Sentier des Ocres,"84220 Roussillon",https://www.destinationluberon.com/,"'Roussillon' 단독은 타 지명과 충돌. 유료·현장매표"
village-des-bories,Village des Bories,FOUND,"Village des Bories, Gordes",Village des Bories,"1570 chemin du Village des Bories, 84220 Gordes",https://luberon.fr/,좌표 적정
