food_slug,local_name,name_ko,region,category,short_intro,typical_price,best_context,recommended_venues,scheduled_days,source
calissons-d-aix,Calissons d'Aix,칼리송 덱스,aix,Confectionery / Pastry,아몬드 페이스트와 멜론·오렌지 당절임 반죽에 로열 아이싱을 입힌 15세기 엑상프로방스 대표 전통 과자,€1.20~€2.00 / piece,아침 커피 / 간식 / 선물,"Pâtisserie Weibel, Maison Brémond",Day 13,Aix-en-Provence Protected IGP Heritage
bouillabaisse,Bouillabaisse traditionnelle,정통 부야베스,marseille,Seafood Stew,"라스카스, 콩그르 등 5종 이상의 지중해 암초 생선과 사프란 육수, 마늘 루이으(Rouille) 소스, 크루통을 곁들인 마르세유·카시스 전통 생선 스튜",€55.00~€75.00 / person,점심 정찬 (사전 예약 / 90분),"Chez Gilbert (Cassis), Chez Fonfon (Marseille)","Day 14, 15",Charte de la Bouillabaisse
panisse,Panisse marseillaise,파니스 (병아리콩 튀김),marseille,Street Food / Snack,병아리콩 가루를 반죽해 굳힌 뒤 도톰하게 썰어 바삭하게 튀겨내고 소금을 뿌린 마르세유·에스타크 전통 길거리 간식,€4.00~€7.00 / cone,오후 간식 / 맥주 안주,"Vieux-Port 좌판, L'Estaque",Day 15,Marseille Street Food Heritage
navettes-de-marseille,Navettes de Marseille,나베트 (오렌지꽃 비스킷),marseille,Biscuit / Pastry,1781년부터 성촉절에 구워온 배 모양의 단단한 오렌지꽃 향 비스킷,€0.80~€1.50 / piece,간식 / 기념품,Four des Navettes,Day 15,Marseille Traditional Heritage
tapenade-anchoiade,Tapenade & Anchoïade,타프나드 & 앙쇼이아드,luberon,Spread / Dip,"블랙·그린 올리브와 케이퍼, 앤초비, 올리브유를 빻아 만든 타프나드와 신선 채소용 마늘 앤초비 딥",€4.00~€8.00 / jar,숙소식 아페리티프 / 바게트 스프레드,"Marché Paysan de Coustellet, Gordes 시장","Day 16, 17, 18",Provençal Classic Aperitif
banon-goat-cheese,Fromage de Banon AOP,바농 염소 치즈,luberon,Artisan Cheese,오크 밤나무 잎으로 감싸 라피아 끈으로 묶어 숙성시킨 뤼베롱·오트프로방스 전통 부드러운 생 염소 치즈,€4.50~€7.00 / piece,피크닉 / 숙소식 와인 안주,"Coustellet 시장 가판, Gordes 시장","Day 16, 17, 18",AOP Protected French Cheese
soupe-au-pistou,Soupe au pistou,수프 오 피스투,luberon,Vegetable Soup,"여름·초가을 제철 콩, 주키니, 감자, 토마토에 바질·마늘·올리브유 페스토(Pistou)와 치즈를 듬뿍 넣은 프로방스 채소 수프",€8.00~€14.00,점심 또는 저녁 가벼운 식사,Roussillon / Goult 비스트로,"Day 16, 17",Provençal Summer Heritage
daube-provencale,Daube provençale,도브 프로방살,avignon,Braised Stew,"론 밸리 레드 와인과 오렌지 껍질, 허브를 넣고 질그릇이나 무쇠 코코트 냄비에 6시간 이상 뭉근히 끓인 소고기 스튜",€18.00~€26.00,저녁 정찬 메인,Les Cocottes Saint-Louis (Avignon),"Day 20, 22",Traditional Provençal Comfort Dish
aioli-provencal,Grand Aïoli provençal,그랑 아이올리,avignon,Platter,"신선한 마늘과 올리브유로 만든 진한 아이올리 소스에 데친 대구(Morue), 감자, 당근, 콜리플라워, 달걀을 곁들인 금요 전통 요리",€18.00~€25.00,금요일 점심 / 비스트로,Uzès / Avignon 로컬 식당,"Day 20, 21",Provençal Traditional Friday Feast
gardianne-de-taureau,Gardianne de taureau AOP,가르디안 드 토로 (카마르그 황소 스튜),arles,Meat Stew,"카마르그 습지에서 방목한 AOP 황소 고기를 코스티에르 드 님 레드 와인과 앤초비, 오렌지 필로 끓인 아를의 영혼 요리 (카마르그 적미 곁들임)",€18.00~€24.00,아를 점심 메인,Le Gibolin (Arles),Day 22,Camargue AOP Heritage Gastronomy
